date,Bitcoin
21/12/2010,26
22/12/2010,34
23/12/2010,36
24/12/2010,77
25/12/2010,40
26/12/2010,89
27/12/2010,28
28/12/2010,35
29/12/2010,35
30/12/2010,65
31/12/2010,51
1/01/2011,46
2/01/2011,54
3/01/2011,21
4/01/2011,84
5/01/2011,31
6/01/2011,32
7/01/2011,44
8/01/2011,38
9/01/2011,63
10/01/2011,51
11/01/2011,30
12/01/2011,20
13/01/2011,31
14/01/2011,52
15/01/2011,100
16/01/2011,49
17/01/2011,70
18/01/2011,59
19/01/2011,40
20/01/2011,40
21/01/2011,52
22/01/2011,37
23/01/2011,49
24/01/2011,59
25/01/2011,39
26/01/2011,20
27/01/2011,30
28/01/2011,74
29/01/2011,24
30/01/2011,47
31/01/2011,75
1/02/2011,9
2/02/2011,5
3/02/2011,6
4/02/2011,7
5/02/2011,10
6/02/2011,16
7/02/2011,6
8/02/2011,13
9/02/2011,13
10/02/2011,64
11/02/2011,100
12/02/2011,48
13/02/2011,66
14/02/2011,42
15/02/2011,31
16/02/2011,32
17/02/2011,41
18/02/2011,41
19/02/2011,30
20/02/2011,22
21/02/2011,36
22/02/2011,45
23/02/2011,32
24/02/2011,36
25/02/2011,39
26/02/2011,40
27/02/2011,29
28/02/2011,37
1/03/2011,46
2/03/2011,30
3/03/2011,34
4/03/2011,34
5/03/2011,25
6/03/2011,36
7/03/2011,38
8/03/2011,32
9/03/2011,23
10/03/2011,27
11/03/2011,20
12/03/2011,21
13/03/2011,29
14/03/2011,16
15/03/2011,19
16/03/2011,12
17/03/2011,25
18/03/2011,22
19/03/2011,14
20/03/2011,20
21/03/2011,47
22/03/2011,45
23/03/2011,100
24/03/2011,42
25/03/2011,38
26/03/2011,41
27/03/2011,32
28/03/2011,46
29/03/2011,22
30/03/2011,30
31/03/2011,23
1/04/2011,37
2/04/2011,27
3/04/2011,32
4/04/2011,38
5/04/2011,50
6/04/2011,44
7/04/2011,45
8/04/2011,39
9/04/2011,38
10/04/2011,47
11/04/2011,46
12/04/2011,31
13/04/2011,42
14/04/2011,39
15/04/2011,43
16/04/2011,92
17/04/2011,69
18/04/2011,64
19/04/2011,66
20/04/2011,50
21/04/2011,66
22/04/2011,53
23/04/2011,62
24/04/2011,63
25/04/2011,57
26/04/2011,85
27/04/2011,67
28/04/2011,100
29/04/2011,99
30/04/2011,84
1/05/2011,19
2/05/2011,12
3/05/2011,10
4/05/2011,10
5/05/2011,10
6/05/2011,11
7/05/2011,8
8/05/2011,15
9/05/2011,16
10/05/2011,16
11/05/2011,15
12/05/2011,18
13/05/2011,17
14/05/2011,21
15/05/2011,18
16/05/2011,74
17/05/2011,56
18/05/2011,38
19/05/2011,80
20/05/2011,71
21/05/2011,44
22/05/2011,44
23/05/2011,43
24/05/2011,49
25/05/2011,75
26/05/2011,53
27/05/2011,42
28/05/2011,40
29/05/2011,47
30/05/2011,45
31/05/2011,100
1/06/2011,52
2/06/2011,66
3/06/2011,65
4/06/2011,57
5/06/2011,65
6/06/2011,61
7/06/2011,49
8/06/2011,75
9/06/2011,84
10/06/2011,76
11/06/2011,100
12/06/2011,100
13/06/2011,81
14/06/2011,75
15/06/2011,92
16/06/2011,90
17/06/2011,85
18/06/2011,75
19/06/2011,77
20/06/2011,97
21/06/2011,75
22/06/2011,77
23/06/2011,57
24/06/2011,43
25/06/2011,44
26/06/2011,43
27/06/2011,46
28/06/2011,46
29/06/2011,41
30/06/2011,34
1/07/2011,74
2/07/2011,73
3/07/2011,66
4/07/2011,63
5/07/2011,67
6/07/2011,61
7/07/2011,100
8/07/2011,66
9/07/2011,62
10/07/2011,72
11/07/2011,64
12/07/2011,52
13/07/2011,56
14/07/2011,79
15/07/2011,54
16/07/2011,54
17/07/2011,53
18/07/2011,59
19/07/2011,68
20/07/2011,63
21/07/2011,49
22/07/2011,42
23/07/2011,46
24/07/2011,48
25/07/2011,54
26/07/2011,52
27/07/2011,58
28/07/2011,48
29/07/2011,47
30/07/2011,44
31/07/2011,59
1/08/2011,71
2/08/2011,73
3/08/2011,79
4/08/2011,80
5/08/2011,87
6/08/2011,95
7/08/2011,100
8/08/2011,81
9/08/2011,64
10/08/2011,60
11/08/2011,49
12/08/2011,52
13/08/2011,58
14/08/2011,60
15/08/2011,58
16/08/2011,56
17/08/2011,75
18/08/2011,68
19/08/2011,73
20/08/2011,65
21/08/2011,81
22/08/2011,70
23/08/2011,56
24/08/2011,90
25/08/2011,58
26/08/2011,58
27/08/2011,54
28/08/2011,55
29/08/2011,48
30/08/2011,57
31/08/2011,57
1/09/2011,85
2/09/2011,78
3/09/2011,83
4/09/2011,80
5/09/2011,78
6/09/2011,96
7/09/2011,90
8/09/2011,99
9/09/2011,100
10/09/2011,90
11/09/2011,77
12/09/2011,70
13/09/2011,71
14/09/2011,64
15/09/2011,62
16/09/2011,65
17/09/2011,67
18/09/2011,73
19/09/2011,63
20/09/2011,71
21/09/2011,54
22/09/2011,49
23/09/2011,47
24/09/2011,68
25/09/2011,76
26/09/2011,59
27/09/2011,48
28/09/2011,63
29/09/2011,60
30/09/2011,53
1/10/2011,77
2/10/2011,78
3/10/2011,65
4/10/2011,96
5/10/2011,67
6/10/2011,85
7/10/2011,68
8/10/2011,99
9/10/2011,93
10/10/2011,75
11/10/2011,80
12/10/2011,73
13/10/2011,72
14/10/2011,72
15/10/2011,61
16/10/2011,60
17/10/2011,85
18/10/2011,100
19/10/2011,90
20/10/2011,73
21/10/2011,54
22/10/2011,78
23/10/2011,65
24/10/2011,74
25/10/2011,68
26/10/2011,71
27/10/2011,51
28/10/2011,51
29/10/2011,57
30/10/2011,50
31/10/2011,56
1/11/2011,100
2/11/2011,76
3/11/2011,71
4/11/2011,55
5/11/2011,52
6/11/2011,50
7/11/2011,50
8/11/2011,43
9/11/2011,43
10/11/2011,57
11/11/2011,43
12/11/2011,52
13/11/2011,46
14/11/2011,54
15/11/2011,71
16/11/2011,43
17/11/2011,50
18/11/2011,49
19/11/2011,51
20/11/2011,47
21/11/2011,48
22/11/2011,46
23/11/2011,44
24/11/2011,42
25/11/2011,55
26/11/2011,65
27/11/2011,61
28/11/2011,59
29/11/2011,64
30/11/2011,57
1/12/2011,90
2/12/2011,67
3/12/2011,86
4/12/2011,89
5/12/2011,72
6/12/2011,69
7/12/2011,52
8/12/2011,59
9/12/2011,57
10/12/2011,61
11/12/2011,64
12/12/2011,71
13/12/2011,66
14/12/2011,68
15/12/2011,64
16/12/2011,63
17/12/2011,55
18/12/2011,60
19/12/2011,47
20/12/2011,60
21/12/2011,77
22/12/2011,72
23/12/2011,90
24/12/2011,66
25/12/2011,82
26/12/2011,79
27/12/2011,71
28/12/2011,75
29/12/2011,78
30/12/2011,73
31/12/2011,100
1/01/2012,26
2/01/2012,27
3/01/2012,25
4/01/2012,20
5/01/2012,30
6/01/2012,30
7/01/2012,31
8/01/2012,31
9/01/2012,31
10/01/2012,31
11/01/2012,29
12/01/2012,29
13/01/2012,23
14/01/2012,20
15/01/2012,26
16/01/2012,100
17/01/2012,55
18/01/2012,40
19/01/2012,34
20/01/2012,32
21/01/2012,29
22/01/2012,32
23/01/2012,27
24/01/2012,27
25/01/2012,31
26/01/2012,27
27/01/2012,29
28/01/2012,26
29/01/2012,26
30/01/2012,28
31/01/2012,27
1/02/2012,78
2/02/2012,77
3/02/2012,100
4/02/2012,88
5/02/2012,81
6/02/2012,76
7/02/2012,63
8/02/2012,62
9/02/2012,85
10/02/2012,81
11/02/2012,80
12/02/2012,70
13/02/2012,67
14/02/2012,75
15/02/2012,85
16/02/2012,93
17/02/2012,59
18/02/2012,61
19/02/2012,62
20/02/2012,66
21/02/2012,59
22/02/2012,73
23/02/2012,70
24/02/2012,65
25/02/2012,69
26/02/2012,62
27/02/2012,61
28/02/2012,61
29/02/2012,68
1/03/2012,62
2/03/2012,98
3/03/2012,100
4/03/2012,88
5/03/2012,69
6/03/2012,61
7/03/2012,58
8/03/2012,62
9/03/2012,52
10/03/2012,60
11/03/2012,62
12/03/2012,59
13/03/2012,64
14/03/2012,61
15/03/2012,60
16/03/2012,60
17/03/2012,53
18/03/2012,60
19/03/2012,72
20/03/2012,69
21/03/2012,56
22/03/2012,69
23/03/2012,62
24/03/2012,65
25/03/2012,64
26/03/2012,57
27/03/2012,60
28/03/2012,79
29/03/2012,52
30/03/2012,63
31/03/2012,64
1/04/2012,55
2/04/2012,90
3/04/2012,93
4/04/2012,68
5/04/2012,68
6/04/2012,64
7/04/2012,82
8/04/2012,72
9/04/2012,58
10/04/2012,71
11/04/2012,74
12/04/2012,71
13/04/2012,52
14/04/2012,68
15/04/2012,59
16/04/2012,55
17/04/2012,52
18/04/2012,74
19/04/2012,62
20/04/2012,58
21/04/2012,63
22/04/2012,55
23/04/2012,64
24/04/2012,52
25/04/2012,62
26/04/2012,88
27/04/2012,100
28/04/2012,71
29/04/2012,72
30/04/2012,65
1/05/2012,58
2/05/2012,54
3/05/2012,46
4/05/2012,49
5/05/2012,64
6/05/2012,100
7/05/2012,75
8/05/2012,50
9/05/2012,51
10/05/2012,65
11/05/2012,65
12/05/2012,79
13/05/2012,70
14/05/2012,71
15/05/2012,57
16/05/2012,44
17/05/2012,42
