time,price
2/2/2018,8895.80
2/1/2018,9181.10
1/31/2018,10284.00
1/30/2018,10175.00
1/29/2018,11212.00
1/28/2018,11839.00
1/27/2018,11461.00
1/26/2018,11070.00
1/25/2018,11146.00
1/24/2018,11414.00
1/23/2018,10819.00
1/22/2018,10771.00
1/21/2018,11514.00
1/20/2018,12728.00
1/19/2018,11476.00
1/18/2018,11045.00
1/17/2018,11082.00
1/16/2018,11072.00
1/15/2018,13575.00
1/14/2018,13558.00
1/13/2018,14191.00
1/12/2018,13783.00
1/11/2018,13266.00
1/10/2018,14896.00
1/9/2018,14423.00
1/8/2018,14930.00
1/7/2018,16196.00
1/6/2018,17161.00
1/5/2018,16917.00
1/4/2018,15160.00
1/3/2018,15155.00
1/2/2018,14709.80
1/1/2018,13354.00
12/31/2017,13800.00
12/30/2017,12377.00
12/29/2017,14317.00
12/28/2017,14315.00
12/27/2017,15374.00
12/26/2017,15679.00
12/25/2017,13623.00
12/24/2017,13476.00
12/23/2017,14035.00
12/22/2017,13170.00
12/21/2017,15666.80
12/20/2017,16425.00
12/19/2017,17345.00
12/18/2017,18934.00
12/17/2017,18971.00
12/16/2017,19187.00
12/15/2017,17522.00
12/14/2017,16383.00
12/13/2017,16181.00
12/12/2017,16967.00
12/11/2017,16754.00
12/10/2017,14997.00
12/9/2017,14660.00
12/8/2017,15869.00
12/7/2017,16601.00
12/6/2017,13527.00
12/5/2017,11595.00
12/4/2017,11595.00
12/3/2017,11157.00
12/2/2017,10881.00
12/1/2017,10869.00
11/30/2017,9907.00
11/29/2017,9749.40
11/28/2017,9898.00
11/27/2017,9728.80
11/26/2017,9316.00
11/25/2017,8766.20
11/24/2017,8191.60
11/23/2017,7977.10
11/22/2017,8230.10
11/21/2017,8097.30
11/20/2017,8245.10
11/19/2017,8054.20
11/18/2017,7773.30
11/17/2017,7677.90
11/16/2017,7864.20
11/15/2017,7278.30
11/14/2017,6579.20
11/13/2017,6474.60
11/12/2017,5822.10
11/11/2017,6300.70
11/10/2017,6542.20
11/9/2017,7126.20
11/8/2017,7442.40
11/7/2017,7103.30
11/6/2017,6955.00
11/5/2017,7382.00
11/4/2017,7369.00
11/3/2017,7278.40
11/2/2017,7019.90
11/1/2017,6727.30
10/31/2017,6458.30
10/30/2017,6125.30
10/29/2017,6156.00
10/28/2017,5720.60
10/27/2017,5759.60
10/26/2017,5890.00
10/25/2017,5720.00
10/24/2017,5509.50
10/23/2017,5906.90
10/22/2017,5980.50
10/21/2017,6005.10
10/20/2017,5984.50
10/19/2017,5694.00
10/18/2017,5565.00
10/17/2017,5597.10
10/16/2017,5764.40
10/15/2017,5698.60
10/14/2017,5835.00
10/13/2017,5636.80
10/12/2017,5428.50
10/11/2017,4824.90
10/10/2017,4777.00
10/9/2017,4782.30
10/8/2017,4613.10
10/7/2017,4436.00
10/6/2017,4371.00
10/5/2017,4315.40
10/4/2017,4215.10
10/3/2017,4311.10
10/2/2017,4400.10
10/1/2017,4404.30
9/30/2017,4367.00
9/29/2017,4169.90
9/28/2017,4190.00
9/27/2017,4205.40
9/26/2017,3879.10
9/25/2017,3930.00
9/24/2017,3652.80
9/23/2017,3779.60
9/22/2017,3598.50
9/21/2017,3603.40
9/20/2017,3873.20
9/19/2017,3900.00
9/18/2017,4084.10
9/17/2017,3666.30
9/16/2017,3685.40
9/15/2017,3698.00
9/14/2017,3238.10
9/13/2017,3849.70
9/12/2017,4142.90
9/11/2017,4203.00
9/10/2017,4232.10
9/9/2017,4317.90
9/8/2017,4305.80
9/7/2017,4613.50
9/6/2017,4589.10
9/5/2017,4374.90
9/4/2017,4200.40
9/3/2017,4595.00
9/2/2017,4534.40
9/1/2017,4904.90
8/31/2017,4718.20
8/30/2017,4569.00
8/29/2017,4587.10
8/28/2017,4383.80
8/27/2017,4331.80
8/26/2017,4341.70
8/25/2017,4351.50
8/24/2017,4325.20
8/23/2017,4129.10
8/22/2017,4074.00
