date,score,magnitude,sentiment,googleview,price,volume
2013-01-01,0.22499999999999995,0.3346153846153845,0.14557692307692308,43,13.3,206393.93307305992
2013-01-02,0.04545454545454546,0.3212121212121212,0.014242424242424253,72,13.3,323579.69935296994
2013-01-03,0.05769230769230771,0.475,0.025192307692307698,24,13.4,225268.8346811999
2013-01-04,0.06727272727272729,0.34,0.035090909090909096,26,13.5,271212.89353674976
2013-01-05,-0.0020833333333333294,0.3479166666666666,-0.016458333333333332,91,13.4,198361.22194513
2013-01-06,0.128125,0.38125,0.05875000000000001,87,13.4,164215.04638678994
2013-01-07,0.18888888888888888,0.3682539682539683,0.15777777777777774,63,13.6,199002.0082141501
2013-01-08,0.14909090909090902,0.33636363636363625,0.08436363636363634,58,13.7,301750.82567256986
2013-01-09,0.2,0.3145833333333333,0.10083333333333334,90,13.8,262021.83999754983
2013-01-10,0.1423076923076923,0.3673076923076923,0.09096153846153847,14,14.1,276429.69539644
2013-01-11,-0.017499999999999998,0.36,-0.017249999999999998,19,14.1,254484.95094714005
2013-01-12,0.09,0.4333333333333333,0.09666666666666668,79,14.2,180246.93825500988
2013-01-13,0.04655172413793104,0.3810344827586209,0.0056896551724137994,72,14.1,211745.74594963
2013-01-14,0.21794871794871795,0.3974358974358975,0.12051282051282056,61,14.3,207896.29948829013
2013-01-15,0.1217391304347826,0.3239130434782608,0.05978260869565216,53,14.3,278447.49226139014
2013-01-16,0.21351351351351355,0.5000000000000001,0.1967567567567568,57,14.7,301537.27790758
2013-01-17,0.08124999999999999,0.4270833333333333,0.069375,72,15.5,306463.88959834015
2013-01-18,0.10000000000000002,0.41707317073170735,0.08341463414634147,63,15.7,284679.68900589005
2013-01-19,0.2157894736842105,0.4631578947368422,0.1457894736842105,64,15.6,175186.1236339199
2013-01-20,0.10256410256410252,0.4102564102564102,0.08051282051282052,67,15.7,176000.09710175995
2013-01-21,0.1,0.3677966101694916,0.07338983050847457,65,16.8,263140.66397531005
2013-01-22,0.1225,0.4,0.05824999999999999,66,17.3,374197.4633377799
2013-01-23,0.16290322580645164,0.3806451612903225,0.1285483870967742,81,17.5,504669.40029043006
2013-01-24,0.017073170731707322,0.33658536585365845,-0.002439024390243894,100,16.9,459335.39141314005
2013-01-25,0.18823529411764706,0.3705882352941176,0.10725490196078433,69,17.4,355768.1248882899
2013-01-26,-0.0018518518518518445,0.2537037037037037,0.00018518518518519165,67,17.9,284774.32589247
2013-01-27,0.10943396226415096,0.3660377358490566,0.05943396226415095,65,17.8,336136.9783691
2013-01-28,0.0320754716981132,0.360377358490566,0.007358490566037731,79,18.7,398226.53662068007
2013-01-29,-0.0282051282051282,0.4128205128205128,0.003846153846153838,95,19.5,616857.3921907003
2013-01-30,0.12452830188679245,0.281132075471698,0.056415094339622635,93,19.7,451511.20208344975
2013-01-31,0.1166666666666667,0.3690476190476189,0.08428571428571427,98,20.4,437438.79466161993
2013-02-01,0.18043478260869567,0.3826086956521738,0.10065217391304346,58,20.5,451279.42855221994
2013-02-02,0.1466666666666666,0.32888888888888884,0.09044444444444444,83,19.6,326867.0948485699
2013-02-03,0.11470588235294114,0.4764705882352942,0.06529411764705884,20,20.6,243523.18624836
2013-02-04,0.12456140350877196,0.3999999999999999,0.06596491228070175,30,20.4,280984.88661750004
2013-02-05,0.010714285714285714,0.3982142857142858,-0.01803571428571428,93,20.6,354985.5898575501
2013-02-06,0.08387096774193549,0.311290322580645,0.05483870967741936,100,21.2,315188.6368755301
2013-02-07,-0.013157894736842108,0.3236842105263158,-0.014210526315789476,100,22.1,294821.8244469101
2013-02-08,0.1829787234042553,0.3212765957446808,0.1280851063829787,60,22.7,268519.0941903201
2013-02-09,0.11666666666666672,0.3629629629629629,0.08,84,23.6,243778.60981933013
2013-02-10,0.13859649122807013,0.34736842105263155,0.07736842105263157,31,24.0,177733.99862489995
2013-02-11,0.08983050847457626,0.30338983050847457,0.07033898305084746,16,24.6,241195.7083939101
2013-02-12,0.16129032258064518,0.4,0.09580645161290323,83,25.2,318956.3647108101
2013-02-13,0.1641509433962264,0.3584905660377358,0.12113207547169813,63,24.2,315173.66305115
2013-02-14,0.1777777777777778,0.4777777777777777,0.12174603174603175,80,27.2,336836.50615287
2013-02-15,0.175438596491228,0.3298245614035088,0.09754385964912282,83,27.1,310670.20055719017
2013-02-16,0.22142857142857147,0.3803571428571429,0.13125000000000006,74,27.2,213199.40100828995
2013-02-17,0.21285714285714288,0.3957142857142856,0.14014285714285718,85,26.8,271606.6728126501
2013-02-18,0.2,0.4152542372881357,0.10881355932203393,93,27.0,266148.57376217004
2013-02-19,0.2196428571428571,0.3767857142857143,0.14803571428571427,79,29.4,291463.01501186
2013-02-20,0.21451612903225808,0.3919354838709677,0.13967741935483874,86,29.6,331248.11661258986
2013-02-21,0.06949152542372881,0.4000000000000001,0.06355932203389833,75,29.8,276296.78031699994
2013-02-22,0.1054054054054054,0.3189189189189189,0.07567567567567568,81,30.3,326524.7664418299
2013-02-23,0.059375000000000025,0.265625,0.016875,87,29.8,284965.7341076
2013-02-24,0.14583333333333334,0.34374999999999994,0.10520833333333332,75,29.9,320518.56898778
2013-02-25,0.06885245901639345,0.3491803278688525,0.06606557377049181,82,30.4,390218.21012767026
2013-02-26,0.13333333333333336,0.3568627450980392,0.0780392156862745,76,31.1,300169.48991379014
2013-02-27,0.07812500000000001,0.35625,0.0503125,77,30.9,275962.1514965301
2013-02-28,0.1352941176470588,0.3397058823529411,0.10264705882352942,100,33.4,405810.8932858099
2013-03-01,0.16097560975609754,0.3146341463414635,0.10951219512195122,65,34.5,287787.76970896
2013-03-02,0.17142857142857146,0.27428571428571424,0.10371428571428573,68,34.3,256940.00620299013
2013-03-03,0.03484848484848485,0.3742424242424242,0.023787878787878792,22,34.5,150688.26557283002
2013-03-04,0.124,0.3280000000000001,0.08879999999999998,44,36.2,263267.72565961
2013-03-05,0.10217391304347824,0.33695652173913043,0.055217391304347815,100,40.3,325458.4303082001
2013-03-06,0.14268292682926828,0.4219512195121951,0.11597560975609755,94,41.0,434978.3953766601
2013-03-07,0.07638888888888888,0.3611111111111112,0.05236111111111108,72,42.0,374617.0436695097
2013-03-08,0.07413793103448275,0.4051724137931033,0.03879310344827586,61,44.2,247328.89469149025
2013-03-09,0.16271186440677965,0.41016949152542376,0.12169491525423727,86,46.8,200151.53168706005
2013-03-10,0.10689655172413792,0.3603448275862069,0.0589655172413793,54,46.0,195697.49952031
2013-03-11,0.03943661971830986,0.395774647887324,0.026056338028169018,14,48.4,230426.14586941004
2013-03-12,0.02419354838709677,0.4225806451612904,0.03500000000000002,75,44.3,305880.73325321
2013-03-13,0.1388059701492538,0.4059701492537312,0.09313432835820896,32,46.9,292864.8889165301
2013-03-14,0.1770833333333334,0.4020833333333335,0.12645833333333334,26,47.2,264313.41420879
