date,score,magnitude,sentiment
2008-10-31,0.3,0.3,0.09
2010-04-30,0.8,0.8,0.6400000000000001
2010-05-01,0.2,0.6,0.12
2010-05-14,0.3,0.7,0.21
2010-05-19,0.9,0.9,0.81
2010-05-24,0.6,0.6,0.36
2010-05-25,0.45,0.55,0.3350000000000001
2010-05-26,0.3,0.7,0.21
2010-05-27,0.1,0.1,0.010000000000000002
2010-05-29,0.2,0.7,0.13999999999999999
2010-06-01,0.1,0.1,0.010000000000000002
2010-06-05,0.8,0.8,0.6400000000000001
2010-06-06,0.16666666666666666,0.16666666666666666,0.05666666666666668
2010-06-07,0.2,0.2,0.04000000000000001
2010-06-09,0.3,0.3,0.09
2010-06-12,0.35,0.85,0.395
2010-06-16,0.175,0.175,0.047500000000000014
2010-06-17,0.1,0.1,0.010000000000000002
2010-06-19,0.2,0.2,0.04000000000000001
2010-06-20,0.0,0.2,0.0
2010-06-22,0.4,0.4,0.16000000000000003
2010-06-25,-0.3,0.3,-0.09
2010-06-28,0.9,0.9,0.81
2010-06-29,0.23333333333333336,0.6333333333333333,0.21
2010-06-30,0.03333333333333333,0.03333333333333333,0.003333333333333334
2010-07-06,0.0,0.1,0.0
2010-07-07,0.1,0.1,0.010000000000000002
2010-07-11,0.05625,0.38125,0.007499999999999998
2010-07-12,0.225,0.275,0.07250000000000001
2010-07-13,0.204,0.3639999999999998,0.10759999999999997
2010-07-14,0.27999999999999997,0.34,0.14800000000000002
2010-07-15,0.19999999999999998,0.5,0.15999999999999998
2010-07-16,0.3666666666666667,0.6333333333333334,0.2833333333333334
2010-07-17,-0.11999999999999997,0.32,-0.08399999999999999
2010-07-18,0.2,0.35,0.065
2010-07-19,0.1,0.75,0.020000000000000004
2010-07-20,0.24500000000000002,0.255,0.09050000000000001
2010-07-21,0.24000000000000005,0.5,0.10200000000000002
2010-07-22,0.05,0.05,0.005000000000000001
2010-07-23,0.22499999999999998,0.22499999999999998,0.12749999999999997
2010-07-24,0.44999999999999996,0.6499999999999999,0.30499999999999994
2010-07-25,0.1571428571428571,0.18571428571428572,0.12142857142857144
2010-07-26,0.05000000000000001,0.10000000000000002,0.011666666666666667
2010-07-30,0.0,0.0,0.0
2010-08-01,0.1,0.1,0.010000000000000002
2010-08-02,0.16666666666666666,0.3333333333333333,0.053333333333333344
2010-08-04,0.15000000000000002,0.35,0.05500000000000001
2010-08-05,0.4,0.8,0.32000000000000006
2010-08-06,-0.6,0.6,-0.36
