date,volume
2013-01-01,206393.93307305992
2013-01-02,323579.69935296994
2013-01-03,225268.83468119992
2013-01-04,271212.89353674976
2013-01-05,198361.22194513
2013-01-06,164215.04638678997
2013-01-07,199002.00821415012
2013-01-08,301750.82567256986
2013-01-09,262021.83999754986
2013-01-10,276429.69539644
2013-01-11,254484.95094714005
2013-01-12,180246.93825500988
2013-01-13,211745.74594962999
2013-01-14,207896.2994882901
2013-01-15,278447.49226139014
2013-01-16,301537.27790757996
2013-01-17,306463.8895983401
2013-01-18,284679.68900589005
2013-01-19,175186.12363391987
2013-01-20,176000.09710175998
2013-01-21,263140.66397531005
2013-01-22,374197.46333777986
2013-01-23,504669.4002904301
2013-01-24,459335.39141314005
2013-01-25,355768.12488828995
2013-01-26,284774.32589246996
2013-01-27,336136.97836909996
2013-01-28,398226.5366206801
2013-01-29,616857.3921907002
2013-01-30,451511.2020834498
2013-01-31,437438.79466161993
2013-02-01,451279.4285522199
2013-02-02,326867.0948485699
2013-02-03,243523.18624835997
2013-02-04,280984.8866175
2013-02-05,354985.5898575501
2013-02-06,315188.63687553006
2013-02-07,294821.82444691006
2013-02-08,268519.0941903201
2013-02-09,243778.6098193301
2013-02-10,177733.99862489998
2013-02-11,241195.70839391014
2013-02-12,318956.36471081007
2013-02-13,315173.66305115
2013-02-14,336836.50615287
2013-02-15,310670.2005571902
2013-02-16,213199.40100828995
2013-02-17,271606.6728126501
2013-02-18,266148.57376217004
2013-02-19,291463.01501186
2013-02-20,331248.1166125899
2013-02-21,276296.78031699994
2013-02-22,326524.7664418299
2013-02-23,284965.7341076
2013-02-24,320518.56898777996
2013-02-25,390218.2101276702
2013-02-26,300169.48991379014
2013-02-27,275962.1514965301
2013-02-28,405810.8932858099
2013-03-01,287787.76970895997
2013-03-02,256940.0062029901
2013-03-03,150688.26557283002
2013-03-04,263267.72565961
2013-03-05,325458.43030820007
2013-03-06,434978.39537666005
2013-03-07,374617.0436695097
2013-03-08,247328.89469149022
2013-03-09,200151.53168706005
2013-03-10,195697.49952030997
2013-03-11,230426.14586941004
2013-03-12,305880.73325320997
2013-03-13,292864.8889165301
2013-03-14,264313.41420879
2013-03-15,259727.32670819008
2013-03-16,172834.95928508003
2013-03-17,159317.69545817
2013-03-18,236203.20637069998
2013-03-19,345351.3285412199
2013-03-20,310975.19933145994
2013-03-21,342584.0155453099
2013-03-22,291743.14627361984
2013-03-23,243477.78016565996
2013-03-24,195085.67915206007
2013-03-25,326691.54779333994
2013-03-26,271449.13705461996
2013-03-27,276762.80484472006
2013-03-28,364165.5998569598
2013-03-29,302368.5945333199
2013-03-30,227317.60066105984
2013-03-31,155181.59997399992
2013-04-01,286826.9169357
2013-04-02,380938.2988868601
2013-04-03,470164.7759844401
2013-04-04,292717.66266120994
2013-04-05,250342.35385029
2013-04-06,197241.88433971
2013-04-07,186218.6619701901
2013-04-08,357388.89647630014
2013-04-09,461840.32443651994
2013-04-10,576109.9344935102
2013-04-11,599818.5615721201
2013-04-12,459934.5752870999
2013-04-13,229693.44172543995
2013-04-14,201988.37364844003
2013-04-15,311325.41355745995
2013-04-16,536008.9119290499
2013-04-17,351416.3784802398
2013-04-18,245347.9813680901
2013-04-19,242093.77171069002
2013-04-20,183858.06119315
2013-04-21,166536.6610067
2013-04-22,169399.25825756
2013-04-23,192766.3152049899
2013-04-24,279698.1065230699
2013-04-25,291124.20144641993
2013-04-26,234820.3710193501
2013-04-27,258920.29122507994
2013-04-28,138614.98522479998
2013-04-29,363795.45623182005
2013-04-30,228081.02062457995
2013-05-01,292538.6939631902
2013-05-02,324557.1311472699
2013-05-03,318923.88827155
2013-05-04,184233.53986431
2013-05-05,202545.9158953698
2013-05-06,306104.4456960102
2013-05-07,441989.1901579702
2013-05-08,335864.65478283004
2013-05-09,180316.90470254992
2013-05-10,222942.94805306985
2013-05-11,222409.22170179992
2013-05-12,225630.38671529005
2013-05-13,315793.3047136299
2013-05-14,249369.54801419997
2013-05-15,267976.5156544199
2013-05-16,232027.25361117
2013-05-17,243903.78593388002
2013-05-18,182172.9250575801
2013-05-19,132719.05004989
2013-05-20,143904.23899183003
2013-05-21,169458.87459805992
1972-09-04,9574.13476004
2005-12-16,211.51239027
2013-05-22,159595.97930191
2013-05-23,169453.8753461499
2013-05-24,231680.47478274998
2013-05-25,202214.19659329992
2013-05-26,76975.35363688004
2013-05-27,175857.75842635002
2013-05-28,190080.95113599996
2013-05-29,198489.20559973997
2013-05-30,216687.81137183993
2013-05-31,137124.60367966996
2013-06-01,108927.7396633
2013-06-02,147802.25691849002
2013-06-03,257994.58027862
2013-06-04,207129.02660192
2013-06-05,183258.53811499994
2013-06-06,204730.35534172985
2013-06-07,232258.04477953003
2013-06-08,139729.28745275
2013-06-09,257841.07891350987
2013-06-10,172645.48680533996
2013-06-11,168592.89652915997
2013-06-12,175917.99486802993
2013-06-13,164016.26948392007
2013-06-14,206874.78406548
2013-06-15,125331.21858852998
2013-06-16,138119.18358573003
2013-06-17,151821.25312999001
2013-06-18,172246.69358119005
2013-06-19,141255.46868804004
2013-06-20,178309.46495869014
2013-06-21,200048.709066
2013-06-22,126501.68032741
2013-06-23,116206.17137991001
2013-06-24,186333.8330384301
2013-06-25,157426.98187214998
2013-06-26,169601.88330031995
2013-06-27,150127.75507653994
2013-06-28,190869.56568753003
2013-06-29,127999.87663246998
2013-06-30,115892.94108377
2013-07-01,285111.57713382994
2013-07-02,220776.89104219005
2013-07-03,299265.07164185995
2013-07-04,356894.5905588802
2013-07-05,334281.76334112004
