price,date
11416.0,2018-03-05
10720.0,2018-03-06
9902.9,2018-03-07
9300.0,2018-03-08
9217.0,2018-03-09
8762.0,2018-03-10
9528.0,2018-03-11
9121.0,2018-03-12
9135.0,2018-03-13
8186.6,2018-03-14
8252.9,2018-03-15
8251.0,2018-03-16
7851.0,2018-03-17
8200.2,2018-03-18
8600.1,2018-03-19
8899.7,2018-03-20
8900.1,2018-03-21
8706.4,2018-03-22
8908.0,2018-03-23
8535.0,2018-03-24
8445.1,2018-03-25
8119.1,2018-03-26
7784.5,2018-03-27
7936.1,2018-03-28
7094.0,2018-03-29
6840.4,2018-03-30
6925.3,2018-03-31
6810.0,2018-04-01
7052.7,2018-04-02
7405.6,2018-04-03
6785.9,2018-04-04
6765.0,2018-04-05
6610.2,2018-04-06
6892.6,2018-04-07
7023.9,2018-04-08
6764.6,2018-04-09
6839.3,2018-04-10
6943.1,2018-04-11
7912.0,2018-04-12
7885.8,2018-04-13
8002.9,2018-04-14
8354.1,2018-04-15
8056.2,2018-04-16
7889.9,2018-04-17
8166.3,2018-04-18
8272.8,2018-04-19
8866.1,2018-04-20
8919.1,2018-04-21
8800.0,2018-04-22
8940.0,2018-04-23
9644.4,2018-04-24
8878.4,2018-04-25
9279.3,2018-04-26
8920.1,2018-04-27
9345.3,2018-04-28
9398.6,2018-04-29
9240.0,2018-04-30
9067.0,2018-05-01
9236.4,2018-05-02
9762.1,2018-05-03
9702.8,2018-05-04
9859.6,2018-05-05
9658.7,2018-05-06
9370.0,2018-05-07
9184.7,2018-05-08
9318.2,2018-05-09
9018.7,2018-05-10
8412.4,2018-05-11
8462.7,2018-05-12
8683.6,2018-05-13
8670.8,2018-05-14
8467.5,2018-05-15
8336.1,2018-05-16
8051.8,2018-05-17
8239.0,2018-05-18
8232.3,2018-05-19
8523.7,2018-05-20
8393.4,2018-05-21
7977.3,2018-05-22
7494.8,2018-05-23
7576.7,2018-05-24
7458.0,2018-05-25
7330.3,2018-05-26
7339.7,2018-05-27
7097.9,2018-05-28
7460.0,2018-05-29
7375.1,2018-05-30
7485.8,2018-05-31
7521.0,2018-06-01
7638.1,2018-06-02
7718.0,2018-06-03
7488.3,2018-06-04
7621.7,2018-06-05
7654.0,2018-06-06
7688.9,2018-06-07
7615.1,2018-06-08
7498.6,2018-06-09
6757.3,2018-06-10
6873.3,2018-06-11
6543.9,2018-06-12
6295.2,2018-06-13
6633.7,2018-06-14
6385.0,2018-06-15
6485.9,2018-06-16
6435.7,2018-06-17
6709.2,2018-06-18
6737.5,2018-06-19
6760.4,2018-06-20
6713.5,2018-06-21
6042.6,2018-06-22
6152.0,2018-06-23
6148.0,2018-06-24
6246.6,2018-06-25
6078.5,2018-06-26
6133.1,2018-06-27
5850.0,2018-06-28
6208.1,2018-06-29
6391.5,2018-06-30
6349.7,2018-07-01
6581.3,2018-07-02
6500.0,2018-07-03
6590.0,2018-07-04
6540.2,2018-07-05
6602.1,2018-07-06
6761.7,2018-07-07
6707.0,2018-07-08
6666.7,2018-07-09
6301.5,2018-07-10
6377.8,2018-07-11
6249.0,2018-07-12
6220.0,2018-07-13
6250.1,2018-07-14
6347.2,2018-07-15
6729.2,2018-07-16
7319.8,2018-07-17
7379.4,2018-07-18
7473.5,2018-07-19
7333.1,2018-07-20
7403.3,2018-07-21
7400.5,2018-07-22
7719.8,2018-07-23
8394.5,2018-07-24
8176.0,2018-07-25
7939.0,2018-07-26
8185.7,2018-07-27
8246.4,2018-07-28
8221.0,2018-07-29
8179.6,2018-07-30
7730.6,2018-07-31
7608.8,2018-08-01
7535.2,2018-08-02
7420.0,2018-08-03
7013.2,2018-08-04
7025.8,2018-08-05
6941.3,2018-08-06
6720.5,2018-08-07
6279.2,2018-08-08
6529.1,2018-08-09
6146.8,2018-08-10
6232.7,2018-08-11
6313.9,2018-08-12
6251.9,2018-08-13
6189.0,2018-08-14
6270.1,2018-08-15
6314.0,2018-08-16
6583.3,2018-08-17
6391.2,2018-08-18
6485.1,2018-08-19
6255.9,2018-08-20
6479.1,2018-08-21
6354.9,2018-08-22
6527.2,2018-08-23
6695.9,2018-08-24
6732.9,2018-08-25
6708.4,2018-08-26
6909.5,2018-08-27
7079.7,2018-08-28
